#[1, 2, 1]
-2,1
-4,9
9,100
-2,1
-6,25
5,36
8,81
-2,1
0,1
-9,64
2,9
-2,1
3,16
3,16
-7,36
-9,64
-4,9
-6,25
0,1
-3,4
-2,1
8,81
-3,4
0,1
9,100
-1,0
-6,25
2,9
-8,49
1,4
-2,1
5,36
-5,16
5,36
-3,4
-5,16
5,36
-7,36
-9,64
3,16
0,1
-10,81
6,49
-4,9
-9,64
-3,4
9,100
8,81
-1,0
1,4
5,36
10,121
-6,25
-7,36
-1,0
0,1
-3,4
-3,4
-8,49
-7,36
3,16
-4,9
-3,4
1,4
10,121
8,81
8,81
8,81
0,1
1,4
0,1
10,121
7,64
-8,49
5,36
-4,9
10,121
4,25
-1,0
3,16
-8,49
8,81
1,4
-3,4
7,64
6,49
-3,4
-8,49
9,100
-7,36
-9,64
-4,9
3,16
-5,16
-6,25
-10,81
-9,64
-5,16
6,49
2,9
